Titulo,Vendas_Totais
Club Penguin: Elite Penguin Force,3.16
Sonic Rush,3.15
Animal Crossing,3.15
Halo: The Master Chief Collection,3.15
Fable,3.14
Tiger Woods PGA Tour 08,3.14
Dark Souls,3.14
The Sims 2: Castaway,3.13
Dragon Warrior IV,3.12
Heavy Rain,3.12
Personal Trainer: Cooking,3.12
Need for Speed III: Hot Pursuit,3.12
The Urbz: Sims in the City,3.12
Star Wars Episode I Racer,3.12
Far Cry: Primal,3.12
MySims Kingdom,3.11
Sonic Colors,3.11
Midnight Club: Street Racing,3.11
Need for Speed (2015),3.1
Disney's DuckTales,3.1
Monster Hunter Freedom 2,3.08
World Class Track Meet,3.08
Devil May Cry 4,3.07
Dark Souls II,3.07
The Sims: Vacation,3.07
The Legend of Zelda: A Link Between Worlds,3.07
SoulCalibur IV,3.06
DJ Hero,3.06
Myst,3.06
The Orange Box,3.05
Epic Mickey,3.04
Tiger Woods PGA Tour 10,3.03
Deal or No Deal,3.03
Just Dance 2016,3.03
Rayman,3.03
Mike Tyson's Punch-Out!!,3.02
Dead Rising 2,3.02
Killzone 2,3.02
WWE SmackDown! Shut Your Mouth,3.02
SingStar,3.02
Overwatch,3.01
2010 FIFA World Cup South Africa,3.0
wwe Smackdown vs. Raw 2006,3.0
Gears of War: Ultimate Edition,3.0
The Sims: Livin Large,2.99
Star Fox,2.99
Devil May Cry,2.99
World Soccer Winning Eleven 6 International,2.99
Animal Crossing: Happy Home Designer,2.98
Half-Life 2,2.98
Crash Nitro Kart,2.98
Bakugan: Battle Brawlers,2.98
The Sims 4,2.97
Star Wars: The Old Republic,2.97
Kirby Super Star Ultra,2.96
God of War Collection,2.96
Medal of Honor: Warfighter,2.96
UFC Undisputed 2010,2.96
SOCOM II: U.S. Navy SEALs,2.94
Fight Night Round 4,2.94
Pac-Man Collection,2.94
inFAMOUS,2.94
Wave Race 64,2.94
Imagine: Fashion Designer,2.94
WarioWare: Smooth Moves,2.92
Ben 10: Alien Force,2.92
NBA 2K10,2.92
Cooking Mama: Cook Off,2.91
Ice Hockey,2.91
World Soccer Winning Eleven 7 International,2.9
SSX Tricky,2.89
Tomb Raider: The Last Revelation,2.89
Hot Shots Golf 3,2.89
Minecraft: Story Mode,2.89
Syphon Filter,2.88
Imagine: Babyz,2.88
Zumba Fitness 2,2.88
Colin McRae Rally,2.87
Tom Clancy's Splinter Cell: Pandora Tomorrow,2.87
The Elder Scrolls III: Morrowind,2.86
WWE 2K16,2.86
Yoshi's Story,2.85
Marvel: Ultimate Alliance 2,2.85
Just Cause 3,2.85
F-Zero,2.85
The Golden Compass,2.85
WWE SmackDown! vs. Raw,2.83
WWE '13,2.83
Metroid Prime,2.82
Army of Two,2.82
Battlefield: Bad Company,2.81
WWE '12,2.81
MVP Baseball 2005,2.81
NCAA Football 06,2.81
NBA Live 2004,2.81
Yoshi's Island DS,2.8
WWE SmackDown! Here Comes the Pain,2.8
Yoshi's Cookie,2.8
WWF SmackDown! Just Bring It,2.79
Professor Layton and the Last Specter,2.79
Hot Shots Golf,2.79
Star Wars The Clone Wars: Republic Heroes,2.79
Killzone 3,2.79
Final Fantasy II,2.78
NBA Live 2002,2.78
Ratchet & Clank: Going Commando,2.78
Jak II,2.78
inFAMOUS: Second Son,2.78
Sonic and the Secret Rings,2.77
Mario Paint,2.75
Riven: The Sequel to Myst,2.75
Mortal Kombat: Deception,2.75
The Crew,2.75
Who wants to be a millionaire,2.74
Pirates of the Caribbean: At World's End,2.74
Guitar Hero: Metallica,2.74
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",2.74
Metroid,2.73
Pok?mon Stadium 2,2.73
Sim Theme Park,2.71
Wipeout: The Game,2.71
Mario Party,2.7
DiRT 2,2.7
Onimusha: Warlords,2.7
Guitar Hero: Warriors of Rock,2.7
Sleeping Dogs,2.69
Mario vs. Donkey Kong: Mini-Land Mayhem!,2.69
Cars: Race-O-Rama,2.69
Dragon Ball Z: Budokai 2,2.68
FIFA Street,2.68
Yokai Watch 2 Shinuchi,2.68
Spyro: Enter the Dragonfly,2.68
SpongeBob's Atlantis SquarePantis,2.67
Rayman Raving Rabbids 2,2.65
Super Mario Bros.: The Lost Levels,2.65
Dying Light,2.65
Up,2.65
Star Wars: Shadows of the Empire,2.65
Hannah Montana,2.65
Medal of Honor Heroes,2.65
Need for Speed Carbon: Own the City,2.65
Madden NFL 99,2.64
Farming Simulator 2015,2.64
LEGO The Hobbit,2.64
MX vs. ATV Untamed,2.64
Toy Story 2: Buzz Lightyear to the Rescue!,2.64
Prince of Persia: Warrior Within,2.64
Tiger Woods PGA Tour 07,2.63
Halo Wars,2.63
Pac-Man: Adventures in Time,2.63
Mario Strikers Charged,2.62
Final Fantasy V,2.62
LEGO Dimensions,2.62
EA Sports Active 2,2.61
LittleBigPlanet 3,2.61
Homefront,2.61
Style Savvy,2.61
Tom Clancy's Ghost Recon: Future Soldier,2.6
Dragon Age II,2.6
Super Mario All-Stars: Limited Edition,2.6
Streets of Rage,2.6
Tiger Woods PGA Tour 2004,2.59
Ratchet & Clank Future: Tools of Destruction,2.59
Tom Clancy's Ghost Recon Advanced Warfighter 2,2.59
